ORGID,NODEID,xLon,yLat
297,319,-74.00840080000,40.71436850000
1369,320,-73.99281940000,40.71437020000
855,321,-74.00044760000,40.71437770000
201,322,-74.01012800000,40.71438300000
1387,323,-73.99255590000,40.71439030000
1538,324,-73.99022270000,40.71439790000
1419,325,-73.99213520000,40.71442040000
2197,326,-73.98146940000,40.71442330000
102,327,-74.01341780000,40.71443760000
895,328,-73.99959260000,40.71446490000
1878,329,-73.98533950000,40.71446490000
2183,330,-73.98164200000,40.71447440000
945,331,-73.99879710000,40.71451180000
1932,332,-73.98470390000,40.71451680000
2511,333,-73.97686010000,40.71461160000
2044,334,-73.98323260000,40.71463700000
1049,335,-73.99715970000,40.71464820000
1478,336,-73.99112840000,40.71467590000
499,337,-74.00588650000,40.71468120000
2102,338,-73.98242600000,40.71469220000
988,339,-73.99803790000,40.71482670000
2062,340,-73.98298910000,40.71485560000
2467,341,-73.97757660000,40.71486010000
1435,342,-73.99188720000,40.71490280000
157,343,-74.01134270000,40.71490400000
335,344,-74.00795210000,40.71493520000
226,345,-74.00967770000,40.71495020000
2038,346,-73.98331740000,40.71495080000
941,347,-73.99886600000,40.71499500000
1083,348,-73.99675520000,40.71502690000
1399,349,-73.99237710000,40.71504920000
1072,350,-73.99686100000,40.71506540000
97,351,-74.01368380000,40.71370150000
37,352,-74.01593770000,40.71510300000
1384,353,-73.99260730000,40.71511800000
740,354,-74.00213570000,40.71517670000
2406,355,-73.97835710000,40.71517760000
1964,356,-73.98424770000,40.71522080000
538,357,-74.00542000000,40.71523600000
827,358,-74.00078380000,40.71529700000
2527,359,-73.97648300000,40.71530270000
1333,360,-73.99340000000,40.71535500000
1019,361,-73.99771580000,40.71536130000
70,362,-74.01448530000,40.71543530000
2345,363,-73.97920450000,40.71543720000
364,364,-74.00755190000,40.71544080000
2485,365,-73.97727860000,40.71550380000
245,366,-74.00922140000,40.71552240000
1582,367,-73.98974820000,40.71556070000
44,368,-74.01557460000,40.71557250000
1185,369,-73.99526870000,40.71557590000
1241,370,-73.99460260000,40.71439220000
2349,371,-73.97911567410,40.71560211290
2367,372,-73.97889470000,40.71553630000
164,373,-74.01110620000,40.71560240000
690,374,-74.00304510000,40.71560340000
1260,375,-73.99427130000,40.71560850000
966,376,-73.99849260000,40.71563030000
